name	ingredient	rxcui
[18f]fludeoksiglukoza curium	fludeoxyglucose (18f)	1362737
[18f]fludeoxyglucose life radiopharma	fludeoxyglucose (18f)	1362737
[67ga]-gallium-citrát curiumpharma	gallium (67ga) citrate	272758
[|1231] sodium iodide ge healthcare	sodium iodide (123 i)	91531
a l e r i d	cetirizine dihydrochloride	203150
a r g o t o n e	ephedrine hydrochloride, silver protein	91165
a-cnotren	isotretinoin	6064
a-cq 100	chloroquine	2393
a-ostin-d3	alfacalcidol	12062
a-pen	ampicillin	733
a-vite	retinol	1367187
a.t. 10 perlen	dihydrotachysterol	3429
aacidexam	dexamethasone sodium phosphate	48933
aacifemine	estriol	4094
aafact	human coagulation factor viii	826070
aas	acetylsalicylic acid	1191
abacavir + lamivudina aurovitas	abacavir, lamivudine	614534
abacavir + lamivudina farmoz	abacavir, lamivudine	614534
abacavir + lamivudina mylan	abacavir, lamivudine	614534
abacavir + lamivudina mylan pharma	abacavir, lamivudine	614534
abacavir + lamivudina sandoz	abacavir, lamivudine	614534
abacavir + lamivudina teva	abacavir, lamivudine	614534
abacavir + lamivudina zentiva	abacavir sulfate, lamivudine	614534
abacavir + lamivudine mylan	abacavir, lamivudine	614534
abacavir + lamivudine sandoz	abacavir, lamivudine	614534
abacavir / lamivudine auxilia	abacavir, lamivudine	614534
abacavir accord	abacavir	190521
abacavir arrow	abacavir	190521
abacavir aurobindo	abacavir	190521
abacavir dextreg	abacavir	190521
abacavir dr. reddy's laboratories (uk)	abacavir	190521
abacavir e lamivudina accord	abacavir, lamivudine	614534
abacavir e lamivudina aristo	abacavir, lamivudine	614534
abacavir e lamivudina aurobindo	abacavir, lamivudine	614534
abacavir e lamivudina doc generici	abacavir, lamivudine	614534
abacavir e lamivudina dr. reddy's	abacavir, lamivudine	614534
abacavir e lamivudina eg	abacavir, lamivudine	614534
abacavir e lamivudina mylan	abacavir, lamivudine	614534
abacavir e lamivudina mylan pharma	abacavir sulfate, lamivudine	614534
abacavir e lamivudina sandoz	abacavir, lamivudine	614534
abacavir e lamivudina sun	abacavir, lamivudine	614534
abacavir e lamivudina teva	abacavir, lamivudine	614534
abacavir e lamivudina zentiva	abacavir sulfate, lamivudine	614534
abacavir farmoz	abacavir	190521
abacavir generis	abacavir	190521
abacavir hexal	abacavir	190521
abacavir medicopharm	abacavir	190521
abacavir mylan	abacavir	190521
abacavir sandoz	abacavir	190521
abacavir tarbis	abacavir	190521
abacavir+lamivudine accord	abacavir, lamivudine	614534
abacavir+lamivudine vale	abacavir sulfate, lamivudine	614534
abacavir/lamivudin al	abacavir, lamivudine	614534
abacavir/lamivudin aristo	abacavir, lamivudine	614534
abacavir/lamivudin aurobindo	abacavir, lamivudine	614534
abacavir/lamivudin basics	abacavir, lamivudine	614534
abacavir/lamivudin beta	abacavir, lamivudine	614534
abacavir/lamivudin glenmark	abacavir, lamivudine	614534
abacavir/lamivudin heumann	abacavir, lamivudine	614534
abacavir/lamivudin hexal	abacavir, lamivudine	614534
abacavir/lamivudin hormosan	abacavir, lamivudine	614534
abacavir/lamivudin medical valley	abacavir, lamivudine	614534
abacavir/lamivudin mylan	abacavir, lamivudine	614534
abacavir/lamivudin mylan pharma	abacavir, lamivudine	614534
abacavir/lamivudin puren	abacavir, lamivudine	614534
abacavir/lamivudin ratiopharm	abacavir, lamivudine	614534
abacavir/lamivudin sandoz	abacavir, lamivudine	614534
abacavir/lamivudin stada	abacavir, lamivudine	614534
abacavir/lamivudin teva	abacavir, lamivudine	614534
abacavir/lamivudin teva uk	abacavir, lamivudine	614534
abacavir/lamivudin vale	abacavir, lamivudine	614534
abacavir/lamivudina accord	abacavir, lamivudine	614534
abacavir/lamivudina aristo	lamivudine, abacavir hydrochloride	614534
abacavir/lamivudina aurovitas	abacavir, lamivudine	614534
abacavir/lamivudina dr. reddys	abacavir, lamivudine	614534
abacavir/lamivudina edigen	abacavir, lamivudine	614534
abacavir/lamivudina glenmark	abacavir, lamivudine	614534
abacavir/lamivudina kern pharma	abacavir, lamivudine	614534
abacavir/lamivudina macleods	abacavir, lamivudine	614534
abacavir/lamivudina mylan	abacavir, lamivudine	614534
abacavir/lamivudina sandoz	abacavir, lamivudine	614534
abacavir/lamivudina stada	abacavir, lamivudine	614534
abacavir/lamivudina sun	abacavir, lamivudine	614534
abacavir/lamivudina teva	abacavir, lamivudine	614534
abacavir/lamivudina/zidovudina mylan	zidovudine, abacavir, lamivudine	284620
abacavir/lamivudine ab	abacavir, lamivudine	614534
abacavir/lamivudine accord	abacavir, lamivudine	614534
abacavir/lamivudine accord healthcare	abacavir, lamivudine	614534
abacavir/lamivudine accord healthcare ireland	abacavir, lamivudine	614534
abacavir/lamivudine amarox	abacavir, lamivudine	614534
abacavir/lamivudine aristo	abacavir, lamivudine	614534
abacavir/lamivudine arrow	abacavir, lamivudine	614534
abacavir/lamivudine aurobindo	abacavir, lamivudine	614534
abacavir/lamivudine auxilia	abacavir, lamivudine	614534
abacavir/lamivudine biogaran	abacavir, lamivudine	614534
abacavir/lamivudine dextreg	abacavir, lamivudine	614534
abacavir/lamivudine doc generici	abacavir, lamivudine	614534
abacavir/lamivudine dr. reddy's	abacavir, lamivudine	614534
abacavir/lamivudine eg	abacavir, lamivudine	614534
abacavir/lamivudine generics uk	abacavir sulfate, lamivudine	614534
abacavir/lamivudine glenmark	abacavir, lamivudine	614534
abacavir/lamivudine lupin healthcare (uk)	abacavir, lamivudine	614534
abacavir/lamivudine macleods	abacavir, lamivudine	614534
abacavir/lamivudine medical valley	abacavir, lamivudine	614534
abacavir/lamivudine mylan	abacavir, lamivudine	614534
abacavir/lamivudine mylan pharma	abacavir sulfate, lamivudine	614534
abacavir/lamivudine mylan pharma	abacavir, lamivudine	614534
abacavir/lamivudine rowex	abacavir, lamivudine	614534
abacavir/lamivudine sandoz	abacavir, lamivudine	614534
abacavir/lamivudine stada	abacavir, lamivudine	614534
abacavir/lamivudine teva	abacavir, lamivudine	614534
abacavir/lamivudine vale pharmaceuticals	abacavir, lamivudine	614534
abacavir/lamivudine xiromed	abacavir, lamivudine	614534
abacavir/lamivudine zentiva	abacavir sulfate, lamivudine	614534
abacavir/lamivudine zentiva	abacavir, lamivudine	614534
abacavir/lamivudine/zidovudine mylan	zidovudine, abacavir, lamivudine	284620
abacavir/lamivudină aurobindo	abacavir, lamivudine	614534
abacavir/lamivudină glenmark	abacavir, lamivudine	614534
abacavir/lamivudină mylan	abacavir, lamivudine	614534
abacavir/lamivudină terapia	abacavir, lamivudine	614534
abacavir/lamivudină teva	abacavir, lamivudine	614534
abacavir/lamivudină vale	abacavir, lamivudine	614534
abacavir/lamivudină zentiva	abacavir sulfate, lamivudine	614534
abakaviir/lamivudiin vale	abacavir, lamivudine	614534
abakavir/lamivudin alpha-medical	abacavir, lamivudine	614534
abakavir/lamivudin mylan	abacavir, lamivudine	614534
abakavir/lamivudin mylan pharma	abacavir, lamivudine	614534
abakavir/lamivudin pliva	abacavir, lamivudine	614534
abakavir/lamivudin sandoz	abacavir, lamivudine	614534
abalon	paracetamol	161
aban	rivaroxaban	1114195
abasaglar	insulin glargine	274783
abasaglar kwikpen	insulin glargine	274783
abasaglar tempo pen	insulin glargine	274783
abba	amoxicillin trihydrate, clavulanic acid	19711
abboticin	erythromycin	4053
abboticin	erythromycin lactobionate	24347
abboticin es	erythromycin	4053
abboticin novum	erythromycin	4053
abc lokale schmerz-therapie wärme	capsaicin	1992
abc lokale schmerz-therapie wärme-pflaster mit sensitiv-vlies	nonivamide	31945
abece	glucosamine	4845
abelcet	amphotericin b	732
abelcet complejo lipídico	amphotericin b	732
abelcet lipid complex	amphotericin b	732
abelfiz	aripiprazole	89013
abella	drospirenone, ethinylestradiol	840781
abelonelle 28	ethinylestradiol, levonorgestrel	214558
abenox	enoxaparin sodium	221095
abenox 10000 ui en seringue préremplie	enoxaparin sodium	221095
abenox 4000 ui	enoxaparin sodium	221095
abenox 6000 ui	enoxaparin sodium	221095
abenox 8000 ui	enoxaparin sodium	221095
aberipra	aripiprazole	89013
abernil	naltrexone hydrochloride	105069
abesart	irbesartan	83818
abesyl	amlodipine	17767
abfen	ibuprofen	5640
abfentiq	fentanyl citrate	142436
abführ-kapsel in	castor oil	2129
abführ-rizinol	castor oil, refined	2129
abführkapsel sn	castor oil, virgin	2129
abführtee n	senna pods, tinnevelly	2166041
abiano	metformin hydrochloride	235743
abiazyt	azithromycin dihydrate	253155
abik	aripiprazole	89013
abilify	aripiprazole	89013
abilify maintena	aripiprazole	89013
abilium	aripiprazole	89013
abimono	isoconazole nitrate	203157
abimox	moxifloxacin	139462
abioclav	amoxicillin, clavulanic acid	19711
abiox	moxifloxacin hydrochloride	228750
abiprost	bimatoprost	283810
abis	amlodipine besilate	104416
abix	hydrocortisone	5492
abolibe forte	ginkgo biloba extract	236809
abormib	bortezomib	358258
abradel	brimonidine tartrate	39171
abraxane	paclitaxel albumin-bound	486610
abrea	acetylsalicylic acid	1191
abricef	cefotaxime sodium	203117
abriff	fluticasone propionate	50121
abrion	ibandronic acid	115265
abrobion	ambroxol hydrochloride	438399
abseamed	epoetin alfa	105694
absenor	sodium valproate	9919
absenor depot	sodium valproate	9919
absorcol	ezetimibe	341248
abstral	fentanyl	4337
abtard	oxycodone hydrochloride	82063
abtei kieselerde	siliceous earth	1362874
abufene	beta-alanine	61
aburic	febuxostat	73689
abuxar	febuxostat	73689
acabel	lornoxicam	20890
acabel rapid	lornoxicam	20890
acadimox	amoxicillin, clavulanic acid	19711
acalka	potassium citrate	54993
acamba	travoprost	283809
acamprosat mylan	acamprosate calcium	152761
acamprosate biogaran	acamprosate calcium	152761
acamprosate generics [uk] ltd	acamprosate calcium	152761
acamprosate mylan	acamprosate calcium	152761
acapril	ramipril	35296
acara	risedronate sodium	60334
acara trio	calcium carbonate, cholecalciferol concentrate | risedronate sodium	60334
acarbosa farmalider	acarbose	16681
acarbosa mylan	acarbose	16681
acarbosa qualigen	acarbose	16681
acarbosa tarbis	acarbose	16681
acarbosa tecnigen	acarbose	16681
acarbose abz	acarbose	16681
acarbose al	acarbose	16681
acarbose arrow	acarbose	16681
acarbose arrow lab	acarbose	16681
acarbose biogaran	acarbose	16681
acarbose bluepharma	acarbose	16681
acarbose bluesar	acarbose	16681
acarbose cadmed	acarbose	16681
acarbose dura	acarbose	16681
acarbose eg	acarbose	16681
acarbose farmoz	acarbose	16681
acarbose friulchem	acarbose	16681
acarbose generics [uk] ltd	acarbose	16681
acarbose generis	acarbose	16681
acarbose generis phar	acarbose	16681
acarbose genevida	acarbose	16681
acarbose glenmark pharmaceuticals europe	acarbose	16681
acarbose labesfal	acarbose	16681
acarbose morningside healthcare	acarbose	16681
acarbose mylan	acarbose	16681
acarbose ratiopharm	acarbose	16681
acarbose sandoz	acarbose	16681
acarbose stada	acarbose	16681
acarbose tablets	acarbose	16681
acarbose zentiva	acarbose	16681
acarbosio doc generici	acarbose	16681
acarbosio tecnigen	acarbose	16681
acard	acetylsalicylic acid	1191
acarden	carvedilol	20352
acarilbial	benzyl benzoate	19044
acarphage	acarbose	16681
acatar acti form	phenylephrine hydrochloride	8164
acatar acti-tabs	pseudoephedrine hydrochloride, triprolidine hydrochloride	214807
acatar allergy	azelastine hydrochloride	235824
acatar control	oxymetazoline hydrochloride	106101
acatar mono	dextromethorphan hydrobromide	102490
acatar zatoki	pseudoephedrine hydrochloride, ibuprofen	214652
acatar zatoki tabs	phenylephrine hydrochloride, ibuprofen	1007329
acc	acetylcysteine	197
acc akut z hustenlöser	acetylcysteine	197
acc classic	acetylcysteine	197
acc cu aroma de mure	acetylcysteine	197
acc direct	acetylcysteine	197
acc direkt hexal  ag	acetylcysteine	197
acc hexal  ag	acetylcysteine	197
acc hot	acetylcysteine	197
acc injekt	acetylcysteine	197
acc instant	acetylcysteine	197
acc junior	acetylcysteine	197
acc kindersaft hexal  ag	acetylcysteine	197
acc long	acetylcysteine	197
acc long hexal  ag	acetylcysteine	197
acc long instant	acetylcysteine	197
acc miere Și lămâie	acetylcysteine	197
acc mini	acetylcysteine	197
acc optima	acetylcysteine	197
acc optima active	acetylcysteine	197
acc tabs hexal  ag	acetylcysteine	197
acc-akut	acetylcysteine	197
accel	amlodipine	17767
accofil	filgrastim	68442
accordeon	oxycodone hydrochloride	82063
accordia	amoxicillin, clavulanic acid	19711
accu-thyrox	levothyroxine sodium	40144
accupaque	iohexol	5956
accupril	quinapril	35208
accupril	quinapril hydrochloride	235759
accuprin	quinapril hydrochloride	235759
accupro	quinapril	35208
accupro	quinapril hydrochloride	235759
accupro comp	hydrochlorothiazide, quinapril	261417
accupron	quinapril	35208
accuretic	hydrochlorothiazide, quinapril	261417
accuretic	quinapril hydrochloride, hydrochlorothiazide	261417
accutin	isotretinoin	6064
accuzide	hydrochlorothiazide, quinapril	261417
accuzide	quinapril hydrochloride, hydrochlorothiazide	261417
accuzide 10	quinapril hydrochloride, hydrochlorothiazide	261417
accuzide 20	quinapril hydrochloride, hydrochlorothiazide	261417
accuzide diuplus	quinapril hydrochloride, hydrochlorothiazide	261417
accuzide forte	hydrochlorothiazide, quinapril	261417
accuzide forte plus	hydrochlorothiazide, quinapril	261417
ace-hemmer	captopril, hydrochlorothiazide	214357
acea	metronidazole	6922
acebutolol almus	acebutolol hydrochloride	142130
acebutolol arrow	acebutolol	149
acebutolol arrow lab	acebutolol hydrochloride	142130
acebutolol aurobindo	acebutolol	149
acebutolol aurovitas	acebutolol	149
acebutolol biogaran	acebutolol hydrochloride	142130
acebutolol cristers	acebutolol	149
acebutolol eg	acebutolol	149
acebutolol eg	acebutolol hydrochloride	142130
acebutolol lp zentiva	acebutolol hydrochloride	142130
acebutolol mylan	acebutolol	149
acebutolol ranbaxy	acebutolol hydrochloride	142130
acebutolol sandoz	acebutolol	149
acebutolol sandoz	acebutolol hydrochloride	142130
acebutolol teva	acebutolol	149
acebutolol teva	acebutolol hydrochloride	142130
acebutolol zentiva	acebutolol hydrochloride	142130
acebutolol zydus	acebutolol	149
acecardin	acetylsalicylic acid	1191
aceclofenac accord	aceclofenac	16689
aceclofenac accord healthcare	aceclofenac	16689
aceclofenac alter	aceclofenac	16689
aceclofenac avidraran	aceclofenac	16689
aceclofenac biogaran	aceclofenac	16689
aceclofenac ciclum	aceclofenac	16689
aceclofenac double-e pharma	aceclofenac	16689
aceclofenac eg	aceclofenac	16689
aceclofenac eg labo	aceclofenac	16689
aceclofenac eurogenerics	aceclofenac	16689
aceclofenac generics uk	aceclofenac	16689
aceclofenac generis	aceclofenac	16689
aceclofenac mylan	aceclofenac	16689
aceclofenac ratiopharm	aceclofenac	16689
aceclofenac rivopharm	aceclofenac	16689
aceclofenac teva	aceclofenac	16689
aceclofenaco alprofarma	aceclofenac	16689
aceclofenaco arafarma group	aceclofenac	16689
aceclofenaco aristo	aceclofenac	16689
aceclofenaco aurovitas spain	aceclofenac	16689
aceclofenaco cinfa	aceclofenac	16689
aceclofenaco kern pharma	aceclofenac	16689
aceclofenaco mabo	aceclofenac	16689
aceclofenaco normon	aceclofenac	16689
aceclofenaco stada	aceclofenac	16689
aceclofenaco vir	aceclofenac	16689
aceclonac	aceclofenac	16689
acecomb	lisinopril dihydrate, hydrochlorothiazide	5487
acecomb mite	lisinopril dihydrate, hydrochlorothiazide	5487
acecomb semi	lisinopril dihydrate, hydrochlorothiazide	5487
acecor	acebutolol	149
acecor	acebutolol hydrochloride	142130
acecort	hydrocortisone	5492
acediur	captopril, hydrochlorothiazide	214357
acediur	enalapril maleate, hydrochlorothiazide	214536
acefa	cefoperazone	2184
aceite de ricino orravan	castor oil	2129
acelisino comp. forte	hydrochlorothiazide, lisinopril	214618
acelisino comp. mite	hydrochlorothiazide, lisinopril	214618
acelisino comp. semi	hydrochlorothiazide, lisinopril	214618
acelyn	ethinylestradiol	4124
acemetacin heumann	acemetacin	16695
acemetacin stada	acemetacin	16695
acemetax	acemetacin	16695
acemit	acetazolamide	167
acenam	glucosamine hydrochloride	236608
acenocoumarol aurobindo	acenocoumarol	154
acenocoumarol cf	acenocoumarol	154
acenocoumarol mylan	acenocoumarol	154
acenocoumarol sandoz	acenocoumarol	154
acenocoumarol teva	acenocoumarol	154
acenocumarol wzf	acenocoumarol	154
acenol	paracetamol	161
acenol forte	paracetamol	161
aceomel	captopril	1998
aceoto	ciprofloxacin	2551
aceoto plus	ciprofloxacin, fluocinolone	1792385
acepramin	aminocaproic acid	99
aceprotin	captopril	1998
acepurin	allopurinol sodium	80566
acequide	quinapril hydrochloride, hydrochlorothiazide	261417
acequin	quinapril hydrochloride	235759
acercomp	hydrochlorothiazide, lisinopril	214618
acesan	acetylsalicylic acid	1191
acesial	ramipril	35296
acesil t	acetylsalicylic acid	1191
acesistem	enalapril maleate, hydrochlorothiazide	214536
acetabs akut	acetylcysteine	197
acetabs rp	acetylcysteine	197
acetamol	paracetamol	161
acetamol adulti	paracetamol	161
acetamol bambini	paracetamol	161
acetamol prima infanzia	paracetamol	161
acetan	lisinopril	29046
acetar	piracetam	8351
acetat de terlipresină ever pharma	terlipressin acetate	57048
acetate de cyproterone arrow	cyproterone acetate	22054
acetate de cyproterone eg	cyproterone acetate	22054
acetate de cyproterone sandoz	cyproterone acetate	22054
acetate de cyproterone teva	cyproterone acetate	22054
acetate de terlipressine ever pharma	terlipressin acetate	57048
acetato de eslicarbazepina alter	eslicarbazepine acetate	1482501
acetato de eslicarbazepina mylan pharma	eslicarbazepine acetate	1482501
acetato de eslicarbazepina pharmakern	eslicarbazepine acetate	1482501
acetato de eslicarbazepina tiefenbacher	eslicarbazepine acetate	1482501
acetato de glatirâmero mepha	glatiramer acetate	84375
acetato de glatirâmero mylan	glatiramer acetate	84375
acetato de potasio b.braun	potassium acetate	54987
acetato sódico fresenius kabi	sodium acetate	56443
acetazolamid agepha	acetazolamide	167
acetazolamida arena	acetazolamide	167
acetazolamide blumont pharma	acetazolamide	167
acetazolamide crescent	acetazolamide	167
acetazolamide crescent pharma	acetazolamide	167
acetazolamide mercury pharmaceuticals	acetazolamide	167
acetazolamide remedica	acetazolamide	167
acetazolamide sandoz	acetazolamide	167
acetazolamide Ι.Φ.Ε.Τ.	acetazolamide	167
aceteff	acetylcysteine	197
acetensil	enalapril maleate	203123
acetensil plus	enalapril maleate, hydrochlorothiazide	214536
aceterin	cetirizine dihydrochloride	203150
aceterin express	cetirizine dihydrochloride	203150
acetilcisteina almus	acetylcysteine	197
acetilcisteina angelini	acetylcysteine	197
acetilcisteina aristo	acetylcysteine	197
acetilcisteina cinfa	acetylcysteine	197
acetilcisteina coop	acetylcysteine	197
acetilcisteina doc	acetylcysteine	197
acetilcisteina doc generici	acetylcysteine	197
acetilcisteina e-pharma trento	acetylcysteine	197
acetilcisteina eg	acetylcysteine	197
acetilcisteina farmasierra	acetylcysteine	197
acetilcisteina hexal	acetylcysteine	197
acetilcisteina hexal a/s	acetylcysteine	197
acetilcisteina hexal ag	acetylcysteine	197
acetilcisteina macil	acetylcysteine	197
acetilcisteina mylan	acetylcysteine	197
acetilcisteina pensa	acetylcysteine	197
acetilcisteina ratiopharm	acetylcysteine	197
acetilcisteina sandoz	acetylcysteine	197
acetilcisteina sandoz care	acetylcysteine	197
acetilcisteina tarbis	acetylcysteine	197
acetilcisteina teva	acetylcysteine	197
acetilcisteină arena	acetylcysteine	197
acetilcisteină laropharm	acetylcysteine	197
acetilcisteína alter	acetylcysteine	197
acetilcisteína azevedos	acetylcysteine	197
acetilcisteína bexal	acetylcysteine	197
acetilcisteína bluepharma	acetylcysteine	197
acetilcisteína cinfa	acetylcysteine	197
acetilcisteína farmoz	acetylcysteine	197
acetilcisteína kern pharma	acetylcysteine	197
acetilcisteína madariaga	acetylcysteine	197
acetilcisteína normon	acetylcysteine	197
acetilcisteína pensa	acetylcysteine	197
acetilcisteína pharmakern	acetylcysteine	197
acetilcisteína sandoz	acetylcysteine	197
acetilcisteína sandoz care	acetylcysteine	197
acetilcisteína stada	acetylcysteine	197
acetilcisteína vitória	acetylcysteine	197
acetilcisztein wagner	acetylcysteine	197
acetilcolina cusí fidia farmaceutici	acetylcholine chloride	20814
acetilsalicilatna kiselina g.l. pharma	acetylsalicylic acid	1191
acetilsalicilna kislina krka	acetylsalicylic acid	1191
acetilsalicilna kislina lek	acetylsalicylic acid	1191
acetilsalicilo rūgštis sanitas	acetylsalicylic acid	1191
acetilsalicilo rūgštis stirol	acetylsalicylic acid	1191
acetilsalicilskābe stirol	acetylsalicylic acid	1191
acetylcystein 1a farma	acetylcysteine	197
acetylcystein abz	acetylcysteine	197
acetylcystein al	acetylcysteine	197
acetylcystein alternova	acetylcysteine	197
acetylcystein dr.max	acetylcysteine	197
acetylcystein hermes	acetylcysteine	197
acetylcystein hexal	acetylcysteine	197
acetylcystein meda	acetylcysteine	197
acetylcystein mylan	acetylcysteine	197
acetylcystein sad	acetylcysteine	197
acetylcystein sandoz	acetylcysteine	197
acetylcystein stirling anglian	acetylcysteine	197
acetylcystein teva	acetylcysteine	197
acetylcysteine (sans sucre) mylan	acetylcysteine	197
acetylcysteine apotex	acetylcysteine	197
acetylcysteine arrow	acetylcysteine	197
acetylcysteine aurobindo	acetylcysteine	197
acetylcysteine aurum pharmaceuticals	acetylcysteine	197
acetylcysteine biogaran conseil	acetylcysteine	197
acetylcysteine bms	acetylcysteine	197
acetylcysteine eg	acetylcysteine	197
acetylcysteine essential-healthcare	acetylcysteine	197
acetylcysteine genevrier	acetylcysteine	197
acetylcysteine mae	acetylcysteine	197
acetylcysteine mylan	acetylcysteine	197
acetylcysteine olainfarm	acetylcysteine	197
acetylcysteine ratiopharm	acetylcysteine	197
acetylcysteine sandoz	acetylcysteine	197
acetylcysteine sandoz conseil	acetylcysteine	197
acetylcysteine sanofi	acetylcysteine	197
acetylcysteine sans sucre eg labo conseil	acetylcysteine	197
acetylcysteine sans sucre teva conseil	acetylcysteine	197
acetylcysteine teva	acetylcysteine	197
acetylcysteine upsa	acetylcysteine	197
acetylcysteine zentiva conseil	acetylcysteine	197
acetylcysteinum flegamina	acetylcysteine	197
acetylcysteïhe marel	acetylcysteine	197
acetylcysteïn sandoz	acetylcysteine	197
acetylcysteïne alpex	acetylcysteine	197
acetylcysteïne aurobindo	acetylcysteine	197
acetylcysteïne birchwood	acetylcysteine	197
acetylcysteïne bruis mylan	acetylcysteine	197
acetylcysteïne bruis teva	acetylcysteine	197
acetylcysteïne extra sterk kruidvat	acetylcysteine	197
acetylcysteïne hoesttabletten bruis boots pharmaceuticals	acetylcysteine	197
acetylcysteïne leidapharm	acetylcysteine	197
acetylcysteïne mylan	acetylcysteine	197
acetylcysteïne rxt	acetylcysteine	197
acetylcysteïne sam	acetylcysteine	197
acetylcysteïne samenwerkende apothekers	acetylcysteine	197
acetylcysteïne sandoz	acetylcysteine	197
acetylcysteïne sanias aurobindo	acetylcysteine	197
acetylcysteïne teva	acetylcysteine	197
acetylsalicylic acid bluefish	acetylsalicylic acid	1191
acetylsalicylic acid grindeks	acetylsalicylic acid	1191
acetylsalicylic acid krka	acetylsalicylic acid	1191
acetylsalicylic acid nvt	acetylsalicylic acid	1191
acetylsalicylic acid sandoz	acetylsalicylic acid	1191
acetylsalicylic acid santa	acetylsalicylic acid	1191
acetylsalicylique mylan	acetylsalicylic acid	1191
acetylsalicylsyra abece	acetylsalicylic acid	1191
acetylsalicylsyra actavis	acetylsalicylic acid	1191
acetylsalicylsyra aristo	acetylsalicylic acid	1191
